Test MSE,Train loss,Valid MSE,epoch,step
,,297985.5625,0,0
,,288253.125,1,1
,,273389.125,2,2
,,252595.21875,3,3
,,225551.4375,4,4
,,192490.546875,5,5
,,154299.40625,6,6
,,112807.2265625,7,7
,,71168.109375,8,8
,,34373.08203125,9,9
,,9552.666015625,10,10
,,5000.74609375,11,11
,,23534.16015625,12,12
,,49548.27734375,13,13
,,60970.921875,14,14
,,54211.4921875,15,15
,,37716.6484375,16,16
,,20697.919921875,17,17
,,8870.0673828125,18,18
,,3965.243896484375,19,19
,,4841.9423828125,20,20
,,9082.3857421875,21,21
,,14268.212890625,22,22
,,18627.689453125,23,23
,,21166.1328125,24,24
,,21544.203125,25,25
,,19904.392578125,26,26
,,16727.109375,27,27
,,12719.9111328125,28,28
,,8711.689453125,29,29
,,5519.63818359375,30,30
,,3772.637451171875,31,31
,,3713.894287109375,32,32
,,5063.3095703125,33,33
,,7058.52587890625,34,34
,,8739.0791015625,35,35
,,9370.1357421875,36,36
,,8756.1630859375,37,37
,,7252.845703125,38,38
,,5507.8486328125,39,39
,,4125.81201171875,40,40
,,3441.253662109375,41,41
,,3466.79345703125,42,42
,,3977.6787109375,43,43
,,4651.1416015625,44,44
,,5192.345703125,45,45
,,5413.6357421875,46,46
,,5263.11279296875,47,47
,,4812.63134765625,48,48
,4812.63134765625,,49,49
,,4217.96142578125,49,49
,,3662.93505859375,50,50
,,3299.721923828125,51,51
,,3200.196533203125,52,52
,,3334.783447265625,53,53
,,3589.76171875,54,54
,,3819.135498046875,55,55
,,3908.75732421875,56,56
,,3821.453857421875,57,57
,,3601.947021484375,58,58
,,3343.684326171875,59,59
,,3139.701171875,60,60
,,3043.610595703125,61,61
,,3055.87646484375,62,62
,,3134.933837890625,63,63
,,3222.259033203125,64,64
,,3268.1845703125,65,65
,,3248.883544921875,66,66
,,3170.61572265625,67,67
,,3062.28466796875,68,68
,,2960.77880859375,69,69
,,2895.15380859375,70,70
,,2875.736572265625,71,71
,,2892.092529296875,72,72
,,2920.177978515625,73,73
,,2934.804931640625,74,74
,,2921.190185546875,75,75
,,2880.108642578125,76,76
,,2824.97900390625,77,77
,,2773.466064453125,78,78
,,2738.586669921875,79,79
,,2723.627197265625,80,80
,,2722.485595703125,81,81
,,2724.168212890625,82,82
,,2718.589599609375,83,83
,,2700.889892578125,84,84
,,2672.681396484375,85,85
,,2640.215576171875,86,86
,,2610.780517578125,87,87
,,2589.1650390625,88,88
,,2575.796630859375,89,89
,,2567.194580078125,90,90
,,2558.248779296875,91,91
,,2544.96630859375,92,92
,,2526.2529296875,93,93
,,2503.96484375,94,94
,,2481.48046875,95,95
,,2461.736572265625,96,96
,,2445.8544921875,97,97
,,2432.8984375,98,98
,2432.8984375,,99,99
,,2420.705322265625,99,99
2420.70556640625,,,100,100
