epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,20699.5625,20699.5625
1,5,,,10972.4638671875,10972.4638671875
2,8,,,47720.94921875,47720.94921875
3,11,,,9886.4775390625,9886.4775390625
4,14,,,4638.33642578125,4638.33642578125
5,17,,,25284.619140625,25284.619140625
6,20,,,4220.09765625,4220.09765625
7,23,,,15718.3994140625,15718.3994140625
8,26,,,5700.6220703125,5700.6220703125
9,29,,,5552.80712890625,5552.80712890625
10,32,,,5829.55615234375,5829.55615234375
11,35,,,3158.552001953125,3158.552001953125
12,38,,,3230.331298828125,3230.331298828125
13,41,,,3957.24853515625,3957.24853515625
14,44,,,2735.97705078125,2735.97705078125
15,47,,,6225.349609375,6225.349609375
16,49,,4138.3583984375,,
16,50,,,4478.95556640625,4478.95556640625
17,53,,,2661.462158203125,2661.462158203125
18,56,,,5661.41015625,5661.41015625
19,59,,,2344.8818359375,2344.8818359375
20,62,,,2204.32421875,2204.32421875
21,65,,,5264.1201171875,5264.1201171875
22,68,,,5013.02783203125,5013.02783203125
23,71,,,1899.231689453125,1899.231689453125
24,74,,,3592.814697265625,3592.814697265625
25,77,,,4130.06005859375,4130.06005859375
26,80,,,2456.6171875,2456.6171875
27,83,,,1614.247802734375,1614.247802734375
28,86,,,1597.5091552734375,1597.5091552734375
29,89,,,1924.27099609375,1924.27099609375
30,92,,,2693.537109375,2693.537109375
31,95,,,2610.79541015625,2610.79541015625
32,98,,,1826.62353515625,1826.62353515625
33,99,,1395.4891357421875,,
33,101,,,1704.2943115234375,1704.2943115234375
34,104,,,1581.9925537109375,1581.9925537109375
35,107,,,3022.78271484375,3022.78271484375
36,110,,,1273.1859130859375,1273.1859130859375
37,113,,,1508.653564453125,1508.653564453125
38,116,,,1390.2939453125,1390.2939453125
39,119,,,1462.5079345703125,1462.5079345703125
40,120,1462.5079345703125,,,
40,120,1462.5079345703125,,,
