Test MSE,Train loss,epoch,step,val_loss
,,0,2,6745.41015625
,,1,5,4365.68505859375
,,2,8,4219.1435546875
,,3,11,5161.20166015625
,,4,14,3013.501220703125
,,5,17,4096.830078125
,,6,20,3870.8955078125
,,7,23,8042.26318359375
,,8,26,11168.576171875
,,9,29,7104.73828125
,,10,32,2461.6484375
,,11,35,3274.94970703125
,,12,38,2351.69482421875
,,13,41,4404.67529296875
,,14,44,1989.9830322265625
,,15,47,1519.137451171875
,6773.830078125,16,49,
,,16,50,1880.25341796875
,,17,53,2595.04638671875
,,18,56,1460.571044921875
,,19,59,1265.9801025390625
,,20,62,1284.81640625
,,21,65,1208.746337890625
,,22,68,1193.90234375
,,23,71,1167.97265625
,,24,74,1967.7620849609375
,,25,77,1728.3302001953125
,,26,80,1853.55517578125
,,27,83,2316.719482421875
,,28,86,3309.68359375
,,29,89,2622.454345703125
,,30,92,1799.22314453125
,,31,95,2143.888671875
,,32,98,1897.18896484375
,1708.2244873046875,33,99,
,,33,101,3166.315185546875
,,34,104,3978.028076171875
,,35,107,1945.9188232421875
,,36,110,1083.9371337890625
,,37,113,2570.256103515625
,,38,116,1622.46728515625
,,39,119,1128.2581787109375
,,40,122,1498.9681396484375
,,41,125,923.2898559570312
,,42,128,1473.89501953125
,,43,131,3119.07763671875
,,44,134,3438.694580078125
,,45,137,5847.5439453125
,,46,140,4769.94384765625
,,47,143,2878.312744140625
,,48,146,1162.5906982421875
,1572.4150390625,49,149,
,,49,149,921.431884765625
,,50,152,926.5572509765625
,,51,155,925.1144409179688
,,52,158,1968.58984375
,,53,161,826.4508056640625
,,54,164,2866.98095703125
,,55,167,2002.9600830078125
,,56,170,1529.978515625
,,57,173,1493.905517578125
,,58,176,2124.583984375
,,59,179,788.8986206054688
,,60,182,778.6968383789062
,,61,185,2383.808349609375
,,62,188,1855.394287109375
,,63,191,1323.9290771484375
,,64,194,2164.069580078125
,,65,197,1430.738525390625
,1243.8604736328125,66,199,
,,66,200,832.747802734375
,,67,203,724.3856201171875
,,68,206,889.8969116210938
,,69,209,849.7572631835938
,,70,212,1082.08544921875
,,71,215,733.44775390625
,,72,218,4664.04150390625
,,73,221,1648.45703125
,,74,224,865.7845458984375
,,75,227,1200.1466064453125
,,76,230,1215.0352783203125
,,77,233,1610.776611328125
,,78,236,2139.169189453125
,,79,239,1270.4061279296875
,,80,242,1056.48046875
,,81,245,2331.281005859375
,,82,248,2918.187744140625
,2941.980224609375,83,249,
,,83,251,878.955322265625
,,84,254,3468.807861328125
,,85,257,1969.7532958984375
,,86,260,1059.155517578125
,,87,263,761.7440795898438
,,88,266,2413.93505859375
,,89,269,1275.2044677734375
,,90,272,757.87939453125
,,91,275,2041.494140625
,,92,278,627.9436645507812
,,93,281,686.10205078125
,,94,284,2066.334228515625
,,95,287,3829.126953125
,,96,290,3048.815185546875
,,97,293,591.2266235351562
,,98,296,1883.2603759765625
,502.6553039550781,99,299,
,,99,299,2370.531982421875
,,100,302,2946.16015625
,,101,305,1135.41015625
,,102,308,1114.9622802734375
,,103,311,2361.195556640625
,,104,314,2634.02783203125
,,105,317,879.9057006835938
,,106,320,549.4649658203125
,,107,323,647.0780029296875
,,108,326,1392.08837890625
,,109,329,1370.577392578125
,,110,332,936.3548583984375
,,111,335,2746.4638671875
,,112,338,2710.517333984375
,,113,341,506.79718017578125
,,114,344,2957.31640625
,,115,347,967.8826904296875
,1160.2119140625,116,349,
,,116,350,656.1533813476562
,,117,353,6386.50146484375
,,118,356,4399.07080078125
,,119,359,485.2230529785156
,,120,362,610.4533081054688
,,121,365,1403.39599609375
,,122,368,948.9862060546875
,,123,371,940.631591796875
,,124,374,786.1285400390625
,,125,377,724.1640014648438
,,126,380,827.7380981445312
,,127,383,1204.893798828125
,,128,386,543.8986206054688
,,129,389,506.7320861816406
,,130,392,2100.558837890625
,,131,395,1246.907958984375
,,132,398,1029.4718017578125
,953.5977783203125,133,399,
,,133,401,4678.09814453125
,,134,404,453.04461669921875
,,135,407,1917.2349853515625
,,136,410,5204.6025390625
,,137,413,1384.22705078125
,,138,416,1072.4561767578125
,,139,419,3019.872802734375
,,140,422,1334.7926025390625
,,141,425,790.962158203125
,,142,428,589.3173828125
,,143,431,714.1898193359375
,,144,434,501.5620422363281
,,145,437,2405.82470703125
,,146,440,584.3681640625
,,147,443,3109.4287109375
,,148,446,1056.070556640625
,861.6875610351562,149,449,
,,149,449,661.9213256835938
,,150,452,882.6724243164062
,,151,455,500.1076354980469
,,152,458,405.9582824707031
,,153,461,602.1512451171875
,,154,464,834.5167846679688
,,155,467,771.9360961914062
,,156,470,419.6927490234375
