epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,45672.89453125,45672.89453125
1,5,,,20924.576171875,20924.576171875
2,8,,,15974.9814453125,15974.9814453125
3,11,,,27383.873046875,27383.873046875
4,14,,,11189.728515625,11189.728515625
5,17,,,9483.7333984375,9483.7333984375
6,20,,,8270.6259765625,8270.6259765625
7,23,,,3713.783935546875,3713.783935546875
8,26,,,3037.35693359375,3037.35693359375
9,29,,,3218.54931640625,3218.54931640625
10,32,,,3093.009521484375,3093.009521484375
11,35,,,2439.6650390625,2439.6650390625
12,38,,,2729.169189453125,2729.169189453125
13,41,,,2048.928955078125,2048.928955078125
14,44,,,3285.73291015625,3285.73291015625
15,47,,,1981.4447021484375,1981.4447021484375
16,49,,2420.052490234375,,
16,50,,,3150.970458984375,3150.970458984375
17,53,,,1875.08935546875,1875.08935546875
18,56,,,1702.6531982421875,1702.6531982421875
19,59,,,2304.730224609375,2304.730224609375
20,62,,,1545.4547119140625,1545.4547119140625
21,65,,,1401.888916015625,1401.888916015625
22,68,,,1553.1177978515625,1553.1177978515625
23,71,,,2537.5078125,2537.5078125
24,74,,,1822.751220703125,1822.751220703125
25,77,,,1159.4874267578125,1159.4874267578125
26,80,,,1156.1533203125,1156.1533203125
27,83,,,1107.9566650390625,1107.9566650390625
28,86,,,1417.220703125,1417.220703125
29,89,,,1106.9857177734375,1106.9857177734375
30,92,,,1106.3291015625,1106.3291015625
31,95,,,1070.8353271484375,1070.8353271484375
32,98,,,1481.6795654296875,1481.6795654296875
33,99,,1010.7449340820312,,
33,101,,,1083.90576171875,1083.90576171875
34,104,,,1251.6695556640625,1251.6695556640625
35,107,,,1324.0855712890625,1324.0855712890625
36,110,,,1185.9581298828125,1185.9581298828125
37,113,,,1720.16064453125,1720.16064453125
38,116,,,1497.236083984375,1497.236083984375
39,119,,,1314.244384765625,1314.244384765625
40,120,1314.244384765625,,,
