epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,46241.703125,46241.703125
1,5,,,21891.775390625,21891.775390625
2,8,,,37906.8359375,37906.8359375
3,11,,,31563.884765625,31563.884765625
4,14,,,3534.40869140625,3534.40869140625
5,17,,,23273.8984375,23273.8984375
6,20,,,3479.79638671875,3479.79638671875
7,23,,,9905.3837890625,9905.3837890625
8,26,,,8288.27734375,8288.27734375
9,29,,,8767.068359375,8767.068359375
10,32,,,7126.49755859375,7126.49755859375
11,35,,,3326.09912109375,3326.09912109375
12,38,,,6156.17529296875,6156.17529296875
13,41,,,2931.15185546875,2931.15185546875
14,44,,,3906.03564453125,3906.03564453125
15,47,,,5178.07470703125,5178.07470703125
16,49,,4775.39306640625,,
16,50,,,2612.829345703125,2612.829345703125
17,53,,,3718.640625,3718.640625
18,56,,,3018.83642578125,3018.83642578125
19,59,,,2190.08203125,2190.08203125
20,62,,,2470.180419921875,2470.180419921875
21,65,,,2035.90625,2035.90625
22,68,,,2009.2320556640625,2009.2320556640625
23,71,,,2185.878173828125,2185.878173828125
24,74,,,2511.747802734375,2511.747802734375
25,77,,,1836.5283203125,1836.5283203125
26,80,,,1785.7718505859375,1785.7718505859375
27,83,,,1656.8150634765625,1656.8150634765625
28,86,,,1951.3321533203125,1951.3321533203125
29,89,,,1654.2684326171875,1654.2684326171875
30,92,,,1516.4864501953125,1516.4864501953125
31,95,,,1538.022216796875,1538.022216796875
32,98,,,2151.146484375,2151.146484375
33,99,,2083.007080078125,,
33,101,,,2552.45361328125,2552.45361328125
34,104,,,1332.4886474609375,1332.4886474609375
35,107,,,1310.91943359375,1310.91943359375
36,110,,,2159.599365234375,2159.599365234375
37,113,,,1357.4993896484375,1357.4993896484375
38,116,,,1236.88623046875,1236.88623046875
39,119,,,1353.1258544921875,1353.1258544921875
40,120,1353.126220703125,,,
40,120,1353.126220703125,,,
