Test MSE,Train loss,Valid MSE,epoch,step
,,300658.21875,0,0
,,296340.9375,1,1
,,290279.75,2,2
,,282094.53125,3,3
,,271504.09375,4,4
,,258301.34375,5,5
,,242375.109375,6,6
,,223640.5,7,7
,,202167.71875,8,8
,,178152.78125,9,9
,,151971.625,10,10
,,124236.9140625,11,11
,,95863.25,12,12
,,68138.1328125,13,13
,,42785.828125,14,14
,,21985.251953125,15,15
,,8238.6064453125,16,16
,,3844.263916015625,17,17
,,9563.7568359375,18,18
,,22571.06640625,19,19
,,36163.22265625,20,20
,,43890.10546875,21,21
,,43592.0390625,22,22
,,36979.015625,23,23
,,27296.203125,24,24
,,17603.4140625,25,25
,,9983.7900390625,26,26
,,5372.43359375,27,27
,,3738.0107421875,28,28
,,4427.62646484375,29,29
,,6527.80322265625,30,30
,,9143.5068359375,31,31
,,11559.52734375,32,32
,,13299.48828125,33,33
,,14119.9248046875,34,34
,,13974.478515625,35,35
,,12969.98046875,36,36
,,11323.8154296875,37,37
,,9323.447265625,38,38
,,7285.6357421875,39,39
,,5512.7001953125,40,40
,,4246.099609375,41,41
,,3622.39697265625,42,42
,,3642.33154296875,43,43
,,4166.77880859375,44,44
,,4949.7802734375,45,45
,,5706.21923828125,46,46
,,6194.35595703125,47,47
,,6282.53369140625,48,48
,6282.5322265625,,49,49
,,5974.4638671875,49,49
,,5387.02099609375,50,50
,,4695.32373046875,51,51
,,4070.70703125,52,52
,,3633.551513671875,53,53
,,3432.15576171875,54,54
,,3446.6982421875,55,55
,,3609.998291015625,56,56
,,3834.69384765625,57,57
,,4038.213623046875,58,58
,,4160.53662109375,59,59
,,4172.96728515625,60,60
,,4078.512939453125,61,61
,,3905.689697265625,62,62
,,3698.033935546875,63,63
,,3501.875,64,64
,,3354.831298828125,65,65
,,3277.439208984375,66,66
,,3269.723876953125,67,67
,,3313.424072265625,68,68
,,3379.128173828125,69,69
,,3436.018310546875,70,70
,,3461.02392578125,71,71
,,3444.580078125,72,72
,,3391.384033203125,73,73
,,3316.599609375,74,74
,,3239.414306640625,75,75
,,3176.499755859375,76,76
,,3137.462646484375,77,77
,,3123.335693359375,78,78
,,3127.880126953125,79,79
,,3140.8017578125,80,80
,,3151.455078125,81,81
,,3151.955078125,82,82
,,3138.92236328125,83,83
,,3113.6552734375,84,84
,,3080.940673828125,85,85
,,3047.08740234375,86,86
,,3017.805419921875,87,87
,,2996.56640625,88,88
,,2983.89453125,89,89
,,2977.633056640625,90,90
,,2974.029296875,91,91
,,2969.173095703125,92,92
,,2960.28125,93,93
,,2946.41015625,94,94
,,2928.457275390625,95,95
,,2908.549072265625,96,96
,,2889.114501953125,97,97
,,2872.036865234375,98,98
,2872.037109375,,99,99
,,2858.1162109375,99,99
2858.115966796875,,,100,100
