epoch,step,test_MSE,val_loss,val_mse
0,2,,5061.4111328125,5061.4111328125
1,5,,18466.33984375,18466.33984375
2,8,,4939.84130859375,4939.84130859375
3,11,,26107.9609375,26107.9609375
4,14,,21966.03125,21966.03125
5,17,,3559.7275390625,3559.7275390625
6,20,,7297.93359375,7297.93359375
7,23,,5488.03466796875,5488.03466796875
8,26,,5058.787109375,5058.787109375
9,29,,3573.671875,3573.671875
10,30,3573.672119140625,,
