epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,9770.205078125,9770.205078125
1,5,,,9619.1767578125,9619.1767578125
2,8,,,69534.8359375,69534.8359375
3,11,,,3509.626220703125,3509.626220703125
4,14,,,27695.541015625,27695.541015625
5,17,,,15194.583984375,15194.583984375
6,20,,,19427.248046875,19427.248046875
7,23,,,6624.38134765625,6624.38134765625
8,26,,,8422.6455078125,8422.6455078125
9,29,,,9300.5732421875,9300.5732421875
10,32,,,6267.1865234375,6267.1865234375
11,35,,,5089.7138671875,5089.7138671875
12,38,,,2841.69580078125,2841.69580078125
13,41,,,3553.52783203125,3553.52783203125
14,44,,,2553.684326171875,2553.684326171875
15,47,,,2909.1181640625,2909.1181640625
16,49,,2826.09619140625,,
16,50,,,2209.694580078125,2209.694580078125
17,53,,,3346.405517578125,3346.405517578125
18,56,,,4466.14990234375,4466.14990234375
19,59,,,1773.7620849609375,1773.7620849609375
20,62,,,4569.81494140625,4569.81494140625
21,65,,,1631.1143798828125,1631.1143798828125
22,68,,,1588.2265625,1588.2265625
23,71,,,1557.6947021484375,1557.6947021484375
24,74,,,1863.0447998046875,1863.0447998046875
25,77,,,1437.8154296875,1437.8154296875
26,80,,,1387.0606689453125,1387.0606689453125
27,83,,,1572.5087890625,1572.5087890625
28,86,,,1442.790283203125,1442.790283203125
29,89,,,1427.6953125,1427.6953125
30,92,,,1460.1263427734375,1460.1263427734375
31,95,,,1326.1546630859375,1326.1546630859375
32,98,,,1349.3896484375,1349.3896484375
33,99,,856.2550659179688,,
33,101,,,1562.1470947265625,1562.1470947265625
34,104,,,2654.121826171875,2654.121826171875
35,107,,,1236.53662109375,1236.53662109375
36,110,,,1156.3544921875,1156.3544921875
37,113,,,1103.1856689453125,1103.1856689453125
38,116,,,1251.3028564453125,1251.3028564453125
39,119,,,1913.560302734375,1913.560302734375
40,122,,,1043.0462646484375,1043.0462646484375
41,125,,,1028.4913330078125,1028.4913330078125
42,128,,,1127.156982421875,1127.156982421875
43,131,,,1140.7965087890625,1140.7965087890625
44,134,,,1487.726318359375,1487.726318359375
45,137,,,1163.298095703125,1163.298095703125
46,140,,,996.9905395507812,996.9905395507812
47,143,,,1774.064697265625,1774.064697265625
48,146,,,2364.231689453125,2364.231689453125
49,149,,1295.1114501953125,,
49,149,,,1001.6932373046875,1001.6932373046875
50,152,,,956.8842163085938,956.8842163085938
51,155,,,980.6047973632812,980.6047973632812
52,158,,,926.62158203125,926.62158203125
53,161,,,945.6670532226562,945.6670532226562
54,164,,,907.6018676757812,907.6018676757812
55,167,,,1313.4990234375,1313.4990234375
56,170,,,988.94580078125,988.94580078125
57,173,,,888.9907836914062,888.9907836914062
58,176,,,876.7718505859375,876.7718505859375
59,179,,,1408.5792236328125,1408.5792236328125
60,182,,,899.4881591796875,899.4881591796875
61,185,,,864.949462890625,864.949462890625
62,188,,,942.9966430664062,942.9966430664062
63,191,,,840.2889404296875,840.2889404296875
64,194,,,1091.2347412109375,1091.2347412109375
65,197,,,1252.8216552734375,1252.8216552734375
66,199,,1069.422607421875,,
66,200,,,1366.5286865234375,1366.5286865234375
67,203,,,901.0099487304688,901.0099487304688
68,206,,,993.5905151367188,993.5905151367188
69,209,,,1471.858154296875,1471.858154296875
70,212,,,951.970703125,951.970703125
71,215,,,934.3286743164062,934.3286743164062
72,218,,,1331.4322509765625,1331.4322509765625
73,221,,,1351.1669921875,1351.1669921875
74,224,,,2882.56103515625,2882.56103515625
75,227,,,1025.8013916015625,1025.8013916015625
76,230,,,793.177490234375,793.177490234375
77,233,,,901.7614135742188,901.7614135742188
78,236,,,762.9215087890625,762.9215087890625
79,239,,,749.4808959960938,749.4808959960938
80,242,,,1320.59619140625,1320.59619140625
81,245,,,1548.7860107421875,1548.7860107421875
82,248,,,749.9549560546875,749.9549560546875
83,249,,615.5214233398438,,
83,251,,,986.2825317382812,986.2825317382812
84,254,,,985.5535278320312,985.5535278320312
85,257,,,898.43603515625,898.43603515625
86,260,,,837.4903564453125,837.4903564453125
87,263,,,806.3143920898438,806.3143920898438
88,266,,,702.8159790039062,702.8159790039062
89,269,,,705.5732421875,705.5732421875
90,272,,,1134.8114013671875,1134.8114013671875
91,275,,,899.0235595703125,899.0235595703125
92,278,,,960.6991577148438,960.6991577148438
93,281,,,1381.170166015625,1381.170166015625
94,284,,,893.2782592773438,893.2782592773438
95,287,,,674.3349609375,674.3349609375
96,290,,,739.0880737304688,739.0880737304688
97,293,,,651.3775024414062,651.3775024414062
98,296,,,642.299560546875,642.299560546875
99,299,,961.696044921875,,
99,299,,,949.2503051757812,949.2503051757812
100,300,949.2504272460938,,,
