epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,15515.2470703125,15515.2470703125
1,5,,,16470.583984375,16470.583984375
2,8,,,57483.3046875,57483.3046875
3,11,,,12799.9130859375,12799.9130859375
4,14,,,15441.431640625,15441.431640625
5,17,,,21458.01953125,21458.01953125
6,20,,,9786.552734375,9786.552734375
7,23,,,15510.83203125,15510.83203125
8,26,,,3283.248291015625,3283.248291015625
9,29,,,12057.462890625,12057.462890625
10,32,,,3802.807861328125,3802.807861328125
11,35,,,10084.330078125,10084.330078125
12,38,,,4045.85546875,4045.85546875
13,41,,,4843.130859375,4843.130859375
14,44,,,3482.1572265625,3482.1572265625
15,47,,,2973.609619140625,2973.609619140625
16,49,,2277.240234375,,
16,50,,,2925.55859375,2925.55859375
17,53,,,2671.390869140625,2671.390869140625
18,56,,,2779.920166015625,2779.920166015625
19,59,,,2325.300048828125,2325.300048828125
20,62,,,4973.77392578125,4973.77392578125
21,65,,,2194.810546875,2194.810546875
22,68,,,3815.08154296875,3815.08154296875
23,71,,,4648.52978515625,4648.52978515625
24,74,,,2271.268310546875,2271.268310546875
25,77,,,3168.43701171875,3168.43701171875
26,80,,,3480.939208984375,3480.939208984375
27,83,,,2567.207763671875,2567.207763671875
28,86,,,3106.986572265625,3106.986572265625
29,89,,,3320.04150390625,3320.04150390625
30,92,,,2507.736572265625,2507.736572265625
31,95,,,3184.91259765625,3184.91259765625
32,98,,,3327.230712890625,3327.230712890625
33,99,,3805.919921875,,
33,101,,,3127.586181640625,3127.586181640625
34,104,,,1452.361572265625,1452.361572265625
35,107,,,2012.802978515625,2012.802978515625
36,110,,,3730.747314453125,3730.747314453125
37,113,,,1388.7890625,1388.7890625
38,116,,,1413.85986328125,1413.85986328125
39,119,,,1460.399658203125,1460.399658203125
40,120,1460.399658203125,,,
40,120,1460.399658203125,,,
