epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,5099.6787109375,5099.6787109375
1,5,,,6422.77587890625,6422.77587890625
2,8,,,4062.39501953125,4062.39501953125
3,11,,,10621.8583984375,10621.8583984375
4,14,,,9365.44921875,9365.44921875
5,17,,,16005.6865234375,16005.6865234375
6,20,,,8403.7998046875,8403.7998046875
7,23,,,2740.9375,2740.9375
8,26,,,3084.558837890625,3084.558837890625
9,29,,,5660.86279296875,5660.86279296875
10,32,,,7563.58056640625,7563.58056640625
11,35,,,4082.369873046875,4082.369873046875
12,38,,,1680.533447265625,1680.533447265625
13,41,,,2231.488037109375,2231.488037109375
14,44,,,1871.4552001953125,1871.4552001953125
15,47,,,2324.960205078125,2324.960205078125
16,49,,1498.7584228515625,,
16,50,,,2004.3294677734375,2004.3294677734375
17,53,,,1538.99072265625,1538.99072265625
18,56,,,1328.6968994140625,1328.6968994140625
19,59,,,1369.0062255859375,1369.0062255859375
20,62,,,1662.3409423828125,1662.3409423828125
21,65,,,1272.00390625,1272.00390625
22,68,,,1259.712890625,1259.712890625
23,71,,,1284.898193359375,1284.898193359375
24,74,,,1118.501708984375,1118.501708984375
25,77,,,1347.146728515625,1347.146728515625
26,80,,,1252.9873046875,1252.9873046875
27,83,,,1160.1641845703125,1160.1641845703125
28,86,,,1029.838623046875,1029.838623046875
29,89,,,1041.2891845703125,1041.2891845703125
30,92,,,1333.6116943359375,1333.6116943359375
31,95,,,1582.089111328125,1582.089111328125
32,98,,,1188.4490966796875,1188.4490966796875
33,99,,828.30322265625,,
33,101,,,1064.57421875,1064.57421875
34,104,,,1198.2899169921875,1198.2899169921875
35,107,,,941.8429565429688,941.8429565429688
36,110,,,1091.73583984375,1091.73583984375
37,113,,,1148.919189453125,1148.919189453125
38,116,,,946.6748046875,946.6748046875
39,119,,,939.8721313476562,939.8721313476562
40,122,,,1575.99462890625,1575.99462890625
41,125,,,1028.0037841796875,1028.0037841796875
42,128,,,941.7116088867188,941.7116088867188
43,131,,,957.3088989257812,957.3088989257812
44,134,,,834.9577026367188,834.9577026367188
45,137,,,1309.65185546875,1309.65185546875
46,140,,,806.8479614257812,806.8479614257812
47,143,,,970.0537719726562,970.0537719726562
48,146,,,3155.825927734375,3155.825927734375
49,149,,914.82568359375,,
49,149,,,5033.935546875,5033.935546875
50,152,,,1346.5179443359375,1346.5179443359375
51,155,,,920.8836059570312,920.8836059570312
52,158,,,773.8955078125,773.8955078125
53,161,,,1072.370361328125,1072.370361328125
54,164,,,1493.57763671875,1493.57763671875
55,167,,,4272.86767578125,4272.86767578125
56,170,,,758.7720336914062,758.7720336914062
57,173,,,1354.2593994140625,1354.2593994140625
58,176,,,721.6605834960938,721.6605834960938
59,179,,,1939.7357177734375,1939.7357177734375
60,182,,,1091.648193359375,1091.648193359375
61,185,,,805.4036865234375,805.4036865234375
62,188,,,1676.0408935546875,1676.0408935546875
63,191,,,1045.1412353515625,1045.1412353515625
64,194,,,910.3095703125,910.3095703125
65,197,,,1907.0340576171875,1907.0340576171875
66,199,,985.5326538085938,,
66,200,,,3569.818115234375,3569.818115234375
67,203,,,1628.5152587890625,1628.5152587890625
68,206,,,657.1774291992188,657.1774291992188
69,209,,,3334.004638671875,3334.004638671875
70,212,,,1439.360595703125,1439.360595703125
71,215,,,627.9827270507812,627.9827270507812
72,218,,,2083.34033203125,2083.34033203125
73,221,,,4278.1474609375,4278.1474609375
74,224,,,1131.3216552734375,1131.3216552734375
75,227,,,2422.52001953125,2422.52001953125
76,230,,,1356.8837890625,1356.8837890625
77,233,,,1638.32080078125,1638.32080078125
78,236,,,3794.68505859375,3794.68505859375
79,239,,,622.0498046875,622.0498046875
80,242,,,849.1558837890625,849.1558837890625
81,245,,,887.7136840820312,887.7136840820312
82,248,,,1221.84423828125,1221.84423828125
83,249,,1148.596923828125,,
83,251,,,595.9600830078125,595.9600830078125
84,254,,,730.490234375,730.490234375
85,257,,,758.0291137695312,758.0291137695312
86,260,,,555.9331665039062,555.9331665039062
87,263,,,773.2454223632812,773.2454223632812
88,266,,,1312.675537109375,1312.675537109375
89,269,,,589.4895629882812,589.4895629882812
90,272,,,851.4981079101562,851.4981079101562
91,275,,,849.7371826171875,849.7371826171875
92,278,,,543.9369506835938,543.9369506835938
93,281,,,567.2561645507812,567.2561645507812
94,284,,,2239.148193359375,2239.148193359375
95,287,,,2358.960693359375,2358.960693359375
96,290,,,1034.7510986328125,1034.7510986328125
97,293,,,1301.06494140625,1301.06494140625
98,296,,,513.1964721679688,513.1964721679688
99,299,,102.17523193359375,,
99,299,,,727.727294921875,727.727294921875
100,300,727.7273559570312,,,
