Test MSE,Train loss,epoch,step,val_loss
,,0,2,4071.200439453125
,,1,5,4332.07958984375
,,2,8,8068.2099609375
,,3,11,4301.869140625
,,4,14,2859.205810546875
,,5,17,3106.619873046875
,,6,20,2511.493408203125
,,7,23,2240.468017578125
,,8,26,3624.1015625
,,9,29,4547.36767578125
,,10,32,5995.7685546875
,,11,35,11628.8837890625
,,12,38,8171.63916015625
,,13,41,4537.23974609375
,,14,44,11929.2109375
,,15,47,7747.14111328125
,6837.88818359375,16,49,
,,16,50,5852.47265625
,,17,53,3430.58544921875
,,18,56,2446.32177734375
,,19,59,2457.968505859375
,,20,62,4013.46728515625
,,21,65,4084.858642578125
,,22,68,5523.3193359375
,,23,71,2603.081298828125
,,24,74,1086.961669921875
1086.9617919921875,,25,75,
