epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,13656.8759765625,13656.8759765625
1,5,,,13909.2333984375,13909.2333984375
2,8,,,44827.0390625,44827.0390625
3,11,,,15336.5888671875,15336.5888671875
4,14,,,6177.2841796875,6177.2841796875
5,17,,,15796.5556640625,15796.5556640625
6,20,,,3858.80615234375,3858.80615234375
7,23,,,10203.373046875,10203.373046875
8,26,,,11752.431640625,11752.431640625
9,29,,,4478.537109375,4478.537109375
10,32,,,10909.17578125,10909.17578125
11,35,,,3034.8154296875,3034.8154296875
12,38,,,3198.15625,3198.15625
13,41,,,4968.93798828125,4968.93798828125
14,44,,,2387.971435546875,2387.971435546875
15,47,,,4054.045166015625,4054.045166015625
16,49,,2679.88525390625,,
16,50,,,2348.88427734375,2348.88427734375
17,53,,,2320.42138671875,2320.42138671875
18,56,,,2692.690185546875,2692.690185546875
19,59,,,1923.6221923828125,1923.6221923828125
20,62,,,1809.513427734375,1809.513427734375
21,65,,,2616.345947265625,2616.345947265625
22,68,,,1782.0738525390625,1782.0738525390625
23,71,,,1563.28759765625,1563.28759765625
24,74,,,1917.71435546875,1917.71435546875
25,77,,,1895.012451171875,1895.012451171875
26,80,,,1535.77685546875,1535.77685546875
27,83,,,1403.6968994140625,1403.6968994140625
28,86,,,1531.9140625,1531.9140625
29,89,,,2940.98681640625,2940.98681640625
30,92,,,1706.783203125,1706.783203125
31,95,,,1293.6204833984375,1293.6204833984375
32,98,,,1092.3514404296875,1092.3514404296875
33,99,,1065.62158203125,,
33,101,,,1247.0518798828125,1247.0518798828125
34,104,,,2914.920166015625,2914.920166015625
35,107,,,1696.9659423828125,1696.9659423828125
36,110,,,1021.2088623046875,1021.2088623046875
37,113,,,2265.704833984375,2265.704833984375
38,116,,,3463.29931640625,3463.29931640625
39,119,,,2063.874267578125,2063.874267578125
40,120,2063.874267578125,,,
40,120,2063.874267578125,,,
