epoch,step,test_MSE,val_loss
0,0,,1.1214053630828857
1,1,,0.9681236147880554
2,2,,0.9944335222244263
3,3,,0.9706699848175049
4,4,,0.9206662774085999
5,5,,0.9026358723640442
6,6,,0.894214928150177
7,7,,0.8652021884918213
8,8,,0.8338748812675476
9,9,,0.8163524270057678
10,10,,0.7917547821998596
11,11,,0.7590326070785522
12,12,,0.734070897102356
13,13,,0.711319625377655
14,14,,0.6823723912239075
15,15,,0.6577394604682922
16,16,,0.6390225291252136
17,17,,0.6147885918617249
18,18,,0.5962806344032288
19,19,,0.5827468037605286
20,20,,0.567718505859375
21,21,,0.5683343410491943
22,22,,0.5809122920036316
23,23,,0.5483317971229553
24,24,,0.527060866355896
25,25,,0.5406327843666077
26,26,,0.5061211585998535
27,27,,0.5088584423065186
28,28,,0.4966958463191986
29,29,,0.4787150025367737
30,30,,0.4836726486682892
31,31,,0.4596983790397644
32,32,,0.4650173485279083
33,33,,0.44803905487060547
34,34,,0.4439217150211334
35,35,,0.43874651193618774
36,36,,0.4254443347454071
37,37,,0.4275857210159302
38,38,,0.41373562812805176
39,39,,0.4113556742668152
40,40,0.4113556444644928,
40,40,0.4113556444644928,
