Test MSE,epoch,step,val_loss
,0,2,4749.845703125
,1,5,5171.0595703125
,2,8,6826.751953125
,3,11,13485.4853515625
,4,14,22557.759765625
,5,17,16716.8984375
,6,20,3970.07177734375
,7,23,2516.786376953125
,8,26,4261.99658203125
,9,29,3124.444091796875
3124.4443359375,10,30,
