epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,5291.6748046875,5291.6748046875
1,5,,,17684.8515625,17684.8515625
2,8,,,29792.326171875,29792.326171875
3,11,,,36968.34765625,36968.34765625
4,14,,,5407.681640625,5407.681640625
5,17,,,3500.92431640625,3500.92431640625
6,20,,,22457.287109375,22457.287109375
7,23,,,8511.828125,8511.828125
8,26,,,3827.15771484375,3827.15771484375
9,29,,,5054.62109375,5054.62109375
10,32,,,7730.89404296875,7730.89404296875
11,35,,,6397.6142578125,6397.6142578125
12,38,,,2796.403564453125,2796.403564453125
13,41,,,2307.6650390625,2307.6650390625
14,44,,,2582.2607421875,2582.2607421875
15,47,,,2066.6484375,2066.6484375
16,49,,1731.944091796875,,
16,50,,,2365.6044921875,2365.6044921875
17,53,,,1736.3427734375,1736.3427734375
18,56,,,1853.9332275390625,1853.9332275390625
19,59,,,1441.99658203125,1441.99658203125
20,62,,,2245.3056640625,2245.3056640625
21,65,,,1860.4827880859375,1860.4827880859375
22,68,,,1755.292724609375,1755.292724609375
23,71,,,1280.9517822265625,1280.9517822265625
24,74,,,3028.81689453125,3028.81689453125
25,77,,,2455.2734375,2455.2734375
26,80,,,1744.6409912109375,1744.6409912109375
27,83,,,1099.24169921875,1099.24169921875
28,86,,,1370.836181640625,1370.836181640625
29,89,,,998.1947021484375,998.1947021484375
30,90,998.19482421875,,,
