epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,58958.33203125,58958.33203125
1,5,,,19274.251953125,19274.251953125
2,8,,,10466.982421875,10466.982421875
3,11,,,28424.87109375,28424.87109375
4,14,,,11767.3994140625,11767.3994140625
5,17,,,12707.72265625,12707.72265625
6,20,,,9220.5595703125,9220.5595703125
7,23,,,3464.625244140625,3464.625244140625
8,26,,,3312.552490234375,3312.552490234375
9,29,,,8828.0087890625,8828.0087890625
10,32,,,3709.911865234375,3709.911865234375
11,35,,,5308.37451171875,5308.37451171875
12,38,,,5683.556640625,5683.556640625
13,41,,,2861.341552734375,2861.341552734375
14,44,,,2656.840576171875,2656.840576171875
15,47,,,4910.0166015625,4910.0166015625
16,49,,3689.869873046875,,
16,50,,,2359.71826171875,2359.71826171875
17,53,,,2329.292724609375,2329.292724609375
18,56,,,5002.0859375,5002.0859375
19,59,,,2224.02880859375,2224.02880859375
20,62,,,1968.6680908203125,1968.6680908203125
21,65,,,3641.56494140625,3641.56494140625
22,68,,,3926.118408203125,3926.118408203125
23,71,,,1789.651123046875,1789.651123046875
24,74,,,2942.057373046875,2942.057373046875
25,77,,,1696.2432861328125,1696.2432861328125
26,80,,,1664.9720458984375,1664.9720458984375
27,83,,,1753.5318603515625,1753.5318603515625
28,86,,,1685.6259765625,1685.6259765625
29,89,,,1691.748779296875,1691.748779296875
30,92,,,1587.70458984375,1587.70458984375
31,95,,,1358.369873046875,1358.369873046875
32,98,,,1463.15087890625,1463.15087890625
33,99,,1173.2099609375,,
33,101,,,1336.9324951171875,1336.9324951171875
34,104,,,1517.3372802734375,1517.3372802734375
35,107,,,1258.6549072265625,1258.6549072265625
36,110,,,1338.8143310546875,1338.8143310546875
37,113,,,1189.3238525390625,1189.3238525390625
38,116,,,1366.9925537109375,1366.9925537109375
39,119,,,1249.234619140625,1249.234619140625
40,120,1249.23486328125,,,
40,120,1249.23486328125,,,
