epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,49103.8359375,49103.8359375
1,5,,,16803.154296875,16803.154296875
2,8,,,16352.7646484375,16352.7646484375
3,11,,,19956.931640625,19956.931640625
4,14,,,7504.0576171875,7504.0576171875
5,17,,,7841.51220703125,7841.51220703125
6,20,,,8960.533203125,8960.533203125
7,23,,,3242.541259765625,3242.541259765625
8,26,,,4578.73486328125,4578.73486328125
9,29,,,4647.76708984375,4647.76708984375
10,32,,,2959.242431640625,2959.242431640625
11,35,,,2960.732421875,2960.732421875
12,38,,,3409.5517578125,3409.5517578125
13,41,,,2980.885498046875,2980.885498046875
14,44,,,3263.710693359375,3263.710693359375
15,47,,,2741.270751953125,2741.270751953125
16,49,,2986.22607421875,,
16,50,,,4629.255859375,4629.255859375
17,53,,,2475.35546875,2475.35546875
18,56,,,2056.88720703125,2056.88720703125
19,59,,,1975.8558349609375,1975.8558349609375
20,62,,,1895.2061767578125,1895.2061767578125
21,65,,,2325.964111328125,2325.964111328125
22,68,,,1792.6719970703125,1792.6719970703125
23,71,,,1713.516845703125,1713.516845703125
24,74,,,1977.73486328125,1977.73486328125
25,77,,,1596.1419677734375,1596.1419677734375
26,80,,,1927.444091796875,1927.444091796875
27,83,,,1566.686767578125,1566.686767578125
28,86,,,2034.402099609375,2034.402099609375
29,89,,,5170.21337890625,5170.21337890625
30,92,,,3699.207763671875,3699.207763671875
31,95,,,3256.233642578125,3256.233642578125
32,98,,,1853.7357177734375,1853.7357177734375
33,99,,1756.1783447265625,,
33,101,,,1331.0831298828125,1331.0831298828125
34,104,,,1655.2615966796875,1655.2615966796875
35,107,,,2811.518310546875,2811.518310546875
36,110,,,2891.8837890625,2891.8837890625
37,113,,,2211.4853515625,2211.4853515625
38,116,,,2426.84912109375,2426.84912109375
39,119,,,1685.2467041015625,1685.2467041015625
40,120,1685.246826171875,,,
40,120,1685.246826171875,,,
