epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,5931.81494140625,5931.81494140625
1,5,,,3272.162353515625,3272.162353515625
2,8,,,6897.478515625,6897.478515625
3,11,,,4092.722900390625,4092.722900390625
4,14,,,3243.0771484375,3243.0771484375
5,17,,,2282.5947265625,2282.5947265625
6,20,,,2510.754150390625,2510.754150390625
7,23,,,3871.9140625,3871.9140625
8,26,,,2195.885986328125,2195.885986328125
9,29,,,1871.349853515625,1871.349853515625
10,32,,,1634.7178955078125,1634.7178955078125
11,35,,,2268.48046875,2268.48046875
12,38,,,1546.240234375,1546.240234375
13,41,,,1372.655517578125,1372.655517578125
14,44,,,1313.658935546875,1313.658935546875
15,47,,,1983.78076171875,1983.78076171875
16,49,,1301.76025390625,,
16,50,,,1327.4400634765625,1327.4400634765625
17,53,,,1189.4967041015625,1189.4967041015625
18,56,,,2179.723388671875,2179.723388671875
19,59,,,1353.87646484375,1353.87646484375
20,62,,,1716.729736328125,1716.729736328125
21,65,,,3342.560302734375,3342.560302734375
22,68,,,3367.541015625,3367.541015625
23,71,,,2056.216064453125,2056.216064453125
24,74,,,1772.71923828125,1772.71923828125
25,77,,,3452.168701171875,3452.168701171875
26,80,,,1822.9390869140625,1822.9390869140625
27,83,,,976.9159545898438,976.9159545898438
28,86,,,927.622802734375,927.622802734375
29,89,,,928.90380859375,928.90380859375
30,92,,,2645.2900390625,2645.2900390625
31,95,,,2677.666015625,2677.666015625
32,98,,,1936.6424560546875,1936.6424560546875
33,99,,1632.220703125,,
33,101,,,1162.3021240234375,1162.3021240234375
34,104,,,1494.2235107421875,1494.2235107421875
35,107,,,968.7835083007812,968.7835083007812
36,110,,,1445.15185546875,1445.15185546875
37,113,,,1045.7916259765625,1045.7916259765625
38,116,,,844.3209838867188,844.3209838867188
39,119,,,958.1021118164062,958.1021118164062
40,122,,,816.1151733398438,816.1151733398438
41,125,,,854.7433471679688,854.7433471679688
42,128,,,893.9900512695312,893.9900512695312
43,131,,,1065.5279541015625,1065.5279541015625
44,134,,,825.269775390625,825.269775390625
45,137,,,770.081298828125,770.081298828125
46,140,,,1045.8599853515625,1045.8599853515625
47,143,,,3842.59130859375,3842.59130859375
48,146,,,8613.1943359375,8613.1943359375
49,149,,3069.344970703125,,
49,149,,,2379.138671875,2379.138671875
50,152,,,3289.037841796875,3289.037841796875
51,155,,,2309.554931640625,2309.554931640625
52,158,,,718.5128173828125,718.5128173828125
53,161,,,3785.03369140625,3785.03369140625
54,164,,,1560.182861328125,1560.182861328125
55,167,,,864.3209838867188,864.3209838867188
56,170,,,3679.1796875,3679.1796875
57,173,,,1238.3382568359375,1238.3382568359375
58,176,,,721.2013549804688,721.2013549804688
59,179,,,1948.1778564453125,1948.1778564453125
60,182,,,705.5206909179688,705.5206909179688
61,185,,,1721.9730224609375,1721.9730224609375
62,188,,,3330.691162109375,3330.691162109375
63,191,,,679.7791748046875,679.7791748046875
64,194,,,1400.272705078125,1400.272705078125
65,197,,,714.8405151367188,714.8405151367188
66,199,,1662.605712890625,,
66,200,,,2477.840087890625,2477.840087890625
67,203,,,743.7376708984375,743.7376708984375
68,206,,,647.98681640625,647.98681640625
69,209,,,709.9686889648438,709.9686889648438
70,212,,,651.2825927734375,651.2825927734375
71,215,,,8357.017578125,8357.017578125
72,218,,,4422.51611328125,4422.51611328125
73,221,,,3192.578125,3192.578125
74,224,,,6979.169921875,6979.169921875
75,227,,,2654.56005859375,2654.56005859375
76,230,,,1046.0401611328125,1046.0401611328125
77,233,,,4429.4541015625,4429.4541015625
78,236,,,1670.416259765625,1670.416259765625
79,239,,,1450.0435791015625,1450.0435791015625
80,242,,,767.3712768554688,767.3712768554688
81,245,,,611.0704345703125,611.0704345703125
82,248,,,817.3048706054688,817.3048706054688
83,249,,1039.74755859375,,
83,251,,,727.7586669921875,727.7586669921875
84,254,,,3604.102783203125,3604.102783203125
85,257,,,1080.5418701171875,1080.5418701171875
86,260,,,1139.580322265625,1139.580322265625
87,263,,,1583.078857421875,1583.078857421875
88,266,,,606.353271484375,606.353271484375
89,269,,,764.0347290039062,764.0347290039062
90,272,,,1301.0850830078125,1301.0850830078125
91,275,,,564.3909301757812,564.3909301757812
92,278,,,676.7660522460938,676.7660522460938
93,281,,,645.9384765625,645.9384765625
94,284,,,4436.8740234375,4436.8740234375
95,287,,,2103.5390625,2103.5390625
96,290,,,1421.5751953125,1421.5751953125
97,293,,,1829.2830810546875,1829.2830810546875
98,296,,,519.5685424804688,519.5685424804688
99,299,,144.88247680664062,,
99,299,,,500.1513977050781,500.1513977050781
100,300,500.1515197753906,,,
