Test MSE,epoch,step,val_loss
,0,2,3744.70947265625
,1,5,3583.826171875
,2,8,4999.95947265625
,3,11,4347.8076171875
,4,14,3844.098388671875
,5,17,8695.3779296875
,6,20,9448.455078125
,7,23,9348.8291015625
,8,26,3249.36474609375
,9,29,4130.7509765625
4130.75048828125,10,30,
