epoch,step,test_MSE,train_loss,val_loss
0,0,,,1.3102598190307617
1,1,,,0.9367854595184326
2,2,,,1.0639612674713135
3,3,,,1.0365263223648071
4,4,,,0.9181362986564636
5,5,,,0.8871203660964966
6,6,,,0.9147608280181885
7,7,,,0.903917133808136
8,8,,,0.8544372320175171
9,9,,,0.8150537610054016
10,10,,,0.8063659071922302
11,11,,,0.8043954372406006
12,12,,,0.7825953960418701
13,13,,,0.7494008541107178
14,14,,,0.7287877202033997
15,15,,,0.7227746844291687
16,16,,,0.7088958024978638
17,17,,,0.6824802160263062
18,18,,,0.6613460183143616
19,19,,,0.6522330045700073
20,20,,,0.6410312056541443
21,21,,,0.6208885312080383
22,22,,,0.6029683351516724
23,23,,,0.5939043164253235
24,24,,,0.5833226442337036
25,25,,,0.5668384432792664
26,26,,,0.5545105338096619
27,27,,,0.5480621457099915
28,28,,,0.5379964113235474
29,29,,,0.525783121585846
30,30,,,0.5195090770721436
31,31,,,0.51380455493927
32,32,,,0.5047281980514526
33,33,,,0.5003933310508728
34,34,,,0.5030375123023987
35,35,,,0.5171258449554443
36,36,,,0.5220493078231812
37,37,,,0.4872976243495941
38,38,,,0.49593085050582886
39,39,,,0.49783194065093994
40,40,,,0.47616270184516907
41,41,,,0.49307700991630554
42,42,,,0.4738711714744568
43,43,,,0.47826480865478516
44,44,,,0.47647878527641296
45,45,,,0.46534326672554016
46,46,,,0.47445449233055115
47,47,,,0.46025964617729187
48,48,,,0.4668930172920227
49,49,,0.4668930172920227,
49,49,,,0.4588509798049927
50,50,,,0.45820775628089905
51,51,,,0.45721638202667236
52,52,,,0.4510812759399414
53,53,,,0.4540669620037079
54,54,,,0.44651058316230774
55,55,,,0.448771595954895
56,56,,,0.44435450434684753
57,57,,,0.4421294033527374
58,58,,,0.44241249561309814
59,59,,,0.4370971620082855
60,60,,,0.43839460611343384
61,61,,,0.4346730411052704
62,62,,,0.4330294132232666
63,63,,,0.4327424466609955
64,64,,,0.4288879632949829
65,65,,,0.4289136230945587
66,66,,,0.42665576934814453
67,67,,,0.4242711067199707
68,68,,,0.4240952134132385
69,69,,,0.4214496612548828
70,70,,,0.41990286111831665
71,71,,,0.4192446768283844
72,72,,,0.4167179763317108
73,73,,,0.41546323895454407
74,74,,,0.41459813714027405
75,75,,,0.4122608006000519
76,76,,,0.41102731227874756
77,77,,,0.41001051664352417
78,78,,,0.40800604224205017
79,79,,,0.4065304696559906
80,80,,,0.40561291575431824
81,81,,,0.4039536416530609
82,82,,,0.4022895097732544
83,83,,,0.4012276232242584
84,84,,,0.4000883400440216
85,85,,,0.398447185754776
86,86,,,0.39696457982063293
87,87,,,0.3957839608192444
88,88,,,0.39457014203071594
89,89,,,0.39314234256744385
90,90,,,0.39166444540023804
91,91,,,0.39045053720474243
92,92,,,0.389382004737854
93,93,,,0.3882046043872833
94,94,,,0.3869134783744812
95,95,,,0.3855797350406647
96,96,,,0.3842657208442688
97,97,,,0.38304823637008667
98,98,,,0.38188424706459045
99,99,,0.38188427686691284,
99,99,,,0.3808180093765259
100,100,,,0.37980011105537415
101,101,,,0.3789272606372833
102,102,,,0.37821969389915466
103,103,,,0.3781089186668396
104,104,,,0.3792550563812256
105,105,,,0.3831298053264618
106,106,,,0.39031487703323364
107,107,,,0.4002048969268799
108,108,,,0.3993331491947174
109,109,,,0.38416269421577454
110,110,,,0.36933305859565735
111,111,,,0.37448346614837646
112,112,,,0.3847768306732178
113,113,,,0.3775063455104828
114,114,,,0.36588361859321594
115,115,,,0.36850494146347046
116,116,,,0.3749798834323883
117,117,,,0.3697432279586792
118,118,,,0.36194923520088196
119,119,,,0.36431264877319336
120,120,,,0.36861923336982727
121,121,,,0.36446279287338257
122,122,,,0.35860371589660645
123,123,,,0.35922881960868835
124,124,,,0.3621711730957031
125,125,,,0.3605346977710724
126,126,,,0.35586416721343994
127,127,,,0.3543699383735657
128,128,,,0.3563269376754761
129,129,,,0.3568357825279236
130,130,,,0.3541858494281769
131,131,,,0.3511148989200592
132,132,,,0.3505229353904724
133,133,,,0.35152971744537354
134,134,,,0.3518769145011902
135,135,,,0.35035938024520874
136,136,,,0.34799468517303467
137,137,,,0.3462055027484894
138,138,,,0.34556716680526733
139,139,,,0.34561553597450256
140,140,,,0.34592363238334656
141,141,,,0.3460736870765686
142,142,,,0.3461098372936249
143,143,,,0.3456183969974518
144,144,,,0.3447623550891876
145,145,,,0.3434475362300873
146,146,,,0.34215661883354187
147,147,,,0.3406093418598175
148,148,,,0.33909735083580017
149,149,,0.33909738063812256,
149,149,,,0.337848037481308
150,150,,,0.33689334988594055
151,151,,,0.33606085181236267
152,152,,,0.3353869318962097
153,153,,,0.3348779082298279
154,154,,,0.3348110616207123
155,155,,,0.3358801603317261
156,156,,,0.340154230594635
157,157,,,0.35144490003585815
158,158,,,0.3787863552570343
159,159,,,0.4023180603981018
160,160,,,0.3933517634868622
161,161,,,0.3399595618247986
162,162,,,0.34289902448654175
163,163,,,0.3737862706184387
164,164,,,0.3483280837535858
165,165,,,0.3330385684967041
166,166,,,0.35345345735549927
167,167,,,0.3446177840232849
168,168,,,0.33055379986763
169,169,,,0.3403398394584656
170,170,,,0.3390633165836334
171,171,,,0.3296971619129181
172,172,,,0.3317546844482422
173,173,,,0.3338170349597931
174,174,,,0.3285697102546692
175,175,,,0.32607242465019226
176,176,,,0.3295018970966339
177,177,,,0.32758015394210815
178,178,,,0.3222096562385559
179,179,,,0.3251047134399414
180,180,,,0.3262968361377716
181,181,,,0.32026368379592896
182,182,,,0.3210821747779846
183,183,,,0.3241921365261078
184,184,,,0.31956946849823
185,185,,,0.3175772428512573
186,186,,,0.32053589820861816
187,187,,,0.3190993666648865
188,188,,,0.3161140978336334
189,189,,,0.3165985643863678
190,190,,,0.316852331161499
191,191,,,0.31547683477401733
192,192,,,0.3146812915802002
193,193,,,0.31402522325515747
194,194,,,0.3131398856639862
195,195,,,0.3132169246673584
196,196,,,0.3131037950515747
197,197,,,0.3114754259586334
198,198,,,0.31037935614585876
199,199,,0.31037935614585876,
199,199,,,0.31057479977607727
200,200,0.31057479977607727,,
200,200,0.31057479977607727,,
